,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
0,Angel ,,,,,,,,,,,
1, Rectangular ,,Size ,Dimensions ,,,,Wood Top,Marble top ,,,
2,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
3,,,S,190 x 100,,,,12800,16770,,,
4,,,M,220 x 110  ,,,,14730,19290,,,
5,,,L,250 x 120 ,,,,16930,22170,,,
6,,,XL,300 x 120 ,,,,21170,27720,,,
7,,,,,,,,,,,,
8,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,Angel ,,,,,,,,,,,
17,Round,,Size ,Dimensions ,,,,Glass top ,Wood top ,Marble top ,,
18,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
19,,,S,100 D,,,,5650,8200,10740,,
20,,,M,120 D,,,,6500,9430,12360,,
21,,,L,150 D ,,,,8130,12930,15440,,
22,,,XL,170 D ,,,,9340,13550,17750,,
23,,,,,,,,,,,,
24,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,Ariel glass top,,,,,,,,,,,
32,Round,,Size ,Dimensions,,,, Glass Top ,Wood Top,Marble Top ,,
33,,,,CMs (H75),,,,,,,,
34,,,S,100 D,,,,5650,8200,10740,,
35,,,M,120 D,,,,6500,9430,12360,,
36,,,L,150 D,,,,8130,11780,15440,,
37,,,XL,170 D,,,,9340,13550,17750,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,Prices above are for a steel base with a standard finish,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,Atlantic,,,,,,,,,,,
50,Rectangular,,Size ,Dimensions,,,,Wood top*,,,,
51,,,,CMs (H75),,,,,,,,
52,,,S,190 x 100,,,,5750,,,,
53,,,M,220 x 100,,,,6890,,,,
54,,,L,250 x 120,,,,8040,,,,
55,,,XL,300 x 110 ,,,,9180,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,Prices above are for a steel base with a standard finish,,,,,,,,,
59,,,,,,,,,,,,
60,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,Atlantic,,,,,,,,,,,
70,Round,,Size ,Dimensions,,,,Wood top*,,,,
71,,,,CMs (H75),,,,,,,,
72,,,M,120 D,,,,4600,,,,
73,,,L,150 D,,,,5400,,,,
74,,,XL,170 D,,,,6390,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,Prices above are for a steel base with a standard finish,,,,,,,,,
79,,,,,,,,,,,,
80,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,AVA glass top,,,,,,,,,,,
86,Round,,Size ,Dimensions,,,, Glass Top ,,,,
87,,,,CMs (H75),,,,,,,,
88,,,S,100 D,,,,6020,,,,
89,,,M,120 D,,,,6930,,,,
90,,,L,150 D,,,,8660,,,,
91,,,XL,170 D ,,,,9950,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,Prices above are for a steel base with a standard finish & UV bonded top,,,,,,,,,
95,,," glass bonded to a stainless steel, bronze or brass plate",,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,Additional cost for base made in bronze:,,,,,,5690,,,
102,,,glass bonded to a bronze plate,,,,,,,,,
103,,,,,,,,,,,,
104,AVA stone ,,,,,,,,,,,
105,Round,,Size ,Dimensions,,,,Marble Top,,,,
