,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
0,Angel ,,,,,,,,,,,
1, Rectangular ,,Size ,Dimensions ,,,,Wood Top,Marble top ,,,
2,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
3,,,S,190 x 100,,,,9600,12580,,,
4,,,M,220 x 110  ,,,,11050,14470,,,
5,,,L,250 x 120 ,,,,12700,16630,,,
6,,,XL,300 x 120 ,,,,15880,20790,,,
7,,,,,,,,,,,,
8,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,Additional cost for base in a specialist finish:,,,,,,960,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,Angel ,,,,,,,,,,,
16,Round,,Size ,Dimensions ,,,,Glass top ,Wood top ,Marble top ,,
17,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
18,,,S,100 D,,,,4240,6150,8060,,
19,,,M,120 D,,,,4880,7080,9270,,
20,,,L,150 D ,,,,6100,9700,11580,,
21,,,XL,170 D ,,,,7010,10160,13320,,
22,,,,,,,,,,,,
23,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,Additional cost for base in a specialist finish:,,,,,,960,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,Ariel ,,,,,,,,,,,
30,Round,,Size ,Dimensions,,,, Glass Top ,Wood Top,Marble Top ,,
31,,,,CMs (H75),,,,,,,,
32,,,S,100 D,,,,4240,6150,8060,,
33,,,M,120 D,,,,4880,7080,9270,,
34,,,L,150 D,,,,6100,8840,11580,,
35,,,XL,170 D ,,,,7010,10160,13320,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,Prices above are for a steel base with a standard finish,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,Additional cost for base in a specialist finish:,,,,,,960,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,Atlantic,,,,,,,,,,,
47,Rectangular,,Size ,Dimensions,,,,Wood top*,,,,
48,,,,CMs (H75),,,,,,,,
49,,,S,190 x 100,,,,4310,,,,
50,,,M,220 x 100,,,,5170,,,,
51,,,L,250 x 120 ,,,,6030,,,,
52,,,XL,300 x 110 ,,,,6890,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,Prices above are for a steel base with a standard finish,,,,,,,,,
56,,,,,,,,,,,,
57,,,"*Birch ply with Fenix veneer, and walnut lipping ",,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,Atlantic,,,,,,,,,,,
69,Round,,Size ,Dimensions,,,,Wood top*,,,,
70,,,,CMs (H75),,,,,,,,
71,,,M,120 D,,,,3450,,,,
72,,,L,150 D,,,,4050,,,,
73,,,XL,170 D ,,,,4790,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,Prices above are for a steel base with a standard finish,,,,,,,,,
78,,,,,,,,,,,,
79,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,AVA glass top,,,,,,,,,,,
83,Round,,Size ,Dimensions,,,, Glass Top ,,,,
84,,,,CMs (H75),,,,,,,,
85,,,S,100 D,,,,4520,,,,
86,,,M,120 D,,,,5200,,,,
87,,,L,150 D,,,,6490,,,,
88,,,XL,170 D ,,,,7460,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,Prices above are for a steel base with a standard finish & UV bonded top,,,,,,,,,
92,,," glass bonded to a stainless steel, bronze or brass plate",,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,Additional cost for base in a specialist finish:,,,,,,870,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,Additional cost for base made in bronze:,,,,,,3580,,,
99,,,glass bonded to a bronze plate,,,,,,,,,
100,,,,,,,,,,,,
101,AVA stone ,,,,,,,,,,,
102,Round,,Size ,Dimensions,,,,Marble Top,,,,
103,,,,CMs (H75),,,,(excluding Calacatta Oro/Limurian Blue),,,,
