,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
0,Angel ,,,,,,,,,,,
1, Rectangular ,,Size ,Dimensions ,,,,Wood Top,Marble top ,,,
2,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
3,,,S,190 x 100,,,,11170,14630,,,
4,,,M,220 x 110  ,,,,12850,16830,,,
5,,,L,250 x 120 ,,,,14770,19350,,,
6,,,XL,300 x 120 ,,,,18470,24190,,,
7,,,,,,,,,,,,
8,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,Angel ,,,,,,,,,,,
16,Round,,Size ,Dimensions ,,,,Glass top ,Wood top ,Marble top ,,
17,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
18,,,S,100 D,,,,4930,7150,9370,,
19,,,M,120 D,,,,5670,8230,10780,,
20,,,L,150 D ,,,,7090,11280,13470,,
21,,,XL,170 D,,,,8150,11820,15490,,
22,,,,,,,,,,,,
23,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,Ariel ,,,,,,,,,,,
31,Round,,Size ,Dimensions,,,, Glass Top ,Wood Top ,Marble Top ,,
32,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
33,,,S,100 D,,,,4930,7150,9370,,
34,,,M,120 D,,,,5670,8230,10780,,
35,,,L,150 D,,,,7090,10280,13470,,
36,,,XL,170 D,,,,8150,11820,15490,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,Prices above are for a steel base with a standard finish,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,Atlantic,,,,,,,,,,,
49,Rectangular,,Size ,Dimensions,,,,Wood top*,,,,
50,,,,CMs (H75),,,,,,,,
51,,,S,190x100,,,,5010,,,,
52,,,M,220x100,,,,6010,,,,
53,,,L,250 x 120,,,,7010,,,,
54,,,XL,300 x 110 ,,,,8010,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,Prices above are for a steel base with a standard finish,,,,,,,,,
58,,,,,,,,,,,,
59,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,Atlantic,,,,,,,,,,,
69,Round,,Size ,Dimensions,,,,Wood top*,,,,
70,,,,CMs (H75),,,,,,,,
71,,,M,120 D,,,,4010,,,,
72,,,L,150 D,,,,4710,,,,
73,,,XL,170 D,,,,5570,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,Prices above are for a steel base with a standard finish,,,,,,,,,
78,,,,,,,,,,,,
79,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,AVA glass top,,,,,,,,,,,
88,Round,,Size ,Dimensions,,,, Glass Top ,,,,
89,,,,CMs (H75),,,,,,,,
90,,,S,100 D,,,,5250,,,,
91,,,M,120 D,,,,6040,,,,
92,,,L,150 D,,,,7550,,,,
93,,,XL,170 D ,,,,8680,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,Prices above are for a steel base with a standard finish & UV bonded top,,,,,,,,,
97,,," glass bonded to a stainless steel, bronze or brass plate",,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,Additional cost for base in a specialist finish:,,,,,,1200,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,Additional cost for base made in bronze:,,,,,,4960,,,
104,,,glass bonded to a bronze plate,,,,,,,,,
105,AVA stone ,,,,,,,,,,,
