,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
0,Angel ,,,,,,,,,,,
1, Rectangular ,,Size ,Dimensions ,,,,Wood Top,Marble top ,,,
2,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
3,,,S,190 x 100,,,,7030,9210,,,
4,,,M,220 x 110  ,,,,8090,10590,,,
5,,,L,250 x 120 ,,,,9290,12170,,,
6,,,XL,300 x 120 ,,,,11620,15220,,,
7,,,,,,,,,,,,
8,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,Additional cost for base in a specialist finish:,,,,,,840,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,Angel ,,,,,,,,,,,
15,Round,,Size ,Dimensions ,,,,Glass top ,Wood top ,Marble top ,,
16,,,,CMs (H75),,,,,,,,
17,,,S,100 D,,,,3110,4500,5900,,
18,,,M,120 D,,,,3570,5180,6780,,
19,,,L,150 D ,,,,4460,7100,8480,,
20,,,XL,170 D ,,,,5130,7440,9750,,
21,,,,,,,,,,,,
22,,,Prices above are with a steel base with a standard finish. ,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,Additional cost for base in a specialist finish:,,,,,,840,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,Ariel ,,,,,,,,,,,
29,Round,,Size ,Dimensions,,,, Glass Top ,Wood Top,Marble Top ,,
30,,,,CMs (H75),,,,,,,,
31,,,S,100 D,,,,3110,4500,5900,,
32,,,M,120 D,,,,3570,5180,6780,,
33,,,L,150 D,,,,4460,6470,8480,,
34,,,XL,170 D,,,,5130,7440,9750,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,Prices above are for a steel base with a standard finish,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,Additional cost for base in a specialist finish:,,,,,,840,,,
43,,,,,,,,,,,,
44,Atlantic,,,,,,,,,,,
45,Rectangular,,Size ,Dimensions,,,,Wood top *,,,,
46,,,,CMs (H75),,,,,,,,
47,,,,,,,,,,,,
48,,,S,190x100,,,,3160,,,,
49,,,M,220x100,,,,3780,,,,
50,,,L,250 x 120,,,,4410,,,,
51,,,XL,300 x 110 ,,,,5040,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,Prices above are for a steel base with a standard finish,,,,,,,,,
55,,,,,,,,,,,,
56,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,Atlantic,,,,,,,,,,,
70,Round,,Size ,Dimensions,,,,Wood top *,,,,
71,,,,CMs (H75),,,,,,,,
72,,,M,120 D,,,,2530,,,,
73,,,L,150 D,,,,2970,,,,
74,,,XL,170 D ,,,,3510,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,Prices above are for a steel base with a standard finish,,,,,,,,,
79,,,,,,,,,,,,
80,,,"*Birch ply with Fenix veneer, and walnut lipping",,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,AVA glass top,,,,,,,,,,,
86,Round,,Size ,Dimensions,,,, Glass Top ,,,,
87,,,,CMs (H75),,,,,,,,
88,,,S,100 D,,,,3310,,,,
89,,,M,120 D,,,,3800,,,,
90,,,L,150 D,,,,4750,,,,
91,,,XL,170 D ,,,,5460,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,Prices above are for a steel base with a standard finish & UV bonded top,,,,,,,,,
95,,," glass bonded to a stainless steel, bronze or brass plate",,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,Additional cost for base in a specialist finish:,,,,,,760,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,Additional cost for base made in bronze:,,,,,,3130,,,
102,,,glass bonded to a bronze plate,,,,,,,,,
103,,,,,,,,,,,,
104,AVA stone ,,,,,,,,,,,
105,Round,,Size ,Dimensions,,,,Marble Top,,,,
